itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
Green,Electrical Insulation Tape 10M,003-0009-08-009004,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Black,Electrical Insulation Tape 10M,003-0009-08-009006,No.s,30,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Red,Electrical Insulation Tape 10M,003-0009-08-009007,No.s,30,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
10-Amp,Power Socket 10-A (85 X 85mm),011-0005-00-005001,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
16-Amp,Power Socket 16-A (85 X 85mm),011-0005-00-005002,No.s,100,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
12-Watt,"Round Ceiling Light Public Area 6"" (12-W)",011-0007-00-007002,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
24-Watt,Energy Saver / Bulb Light (24-W),011-0007-09-007001,No.s,122,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,LED Light Driver of Square Panel Light,011-0008-00-008001,No.s,1400,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"18"" x 2"" (7-24Watt)","Driver Of Washroom LED Light 18"" X 2""",011-0008-00-008003,No.s,255,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
36-Watt,Tube Light Driver Standard Size,011-0008-00-008004,No.s,366,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
36-Watt,Ceiling Light Driver Double Fixture (36-W),011-0008-00-008006,No.s,246,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Philips,Ceiling Light Equipment Area (Single Rod) / Tube Light Rod 36-Watt,011-0007-00-007012,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Size-2ft x 2ft,Square LED Panel Light With Driver,011-0007-00-007013,No.s,27,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Size-1ft x 4ft,LED Panel Light With Driver 40watt / Ceiling Public Area,011-0007-00-007004,No.s,62,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Pakistan Cable 2.5mm,Wire Single Core 2.5mm (Yellow / Green) (Black / Blue / Red),011-0001-08-001007,MTR,2340,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Size-3/4"" / 20mm","UPVC Conduct Pipe Tee 3/4"" / 20mm",003-0052-00-052011,No.s,200,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Left Side Arrow,Emergency Exit Sign Left Side Arrow 15-watt,011-0007-00-007007,No.s,44,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Right Side Arrow,Emergency Exit Sign Right Side Arrow 15-watt,011-0007-00-007008,No.s,8,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Both Side Arrow,Emergency Exit Sign Both Side Arrow (Right + Left) 15-watt,011-0007-00-007009,No.s,65,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"2' X 3""",Stair Case light /Entrance Light 18- Watt,011-0007-00-007006,No.s,183,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
2 Rods,Ceilling Light Double Fixture,011-0007-00-007011,No.s,9,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
36-Watt,Equipment Area Light / Tube Light Standerd,011-0007-00-007010,No.s,32,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20-Kg / Bag,Fire Proof Mud,003-0056-00-056001,Kgs,275,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"18"" X 12""",Wall Mounted Washroom Light 18watt M-3 MINI,011-0007-00-007005,"No,s",126,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
